,epreuve,normal,team,group,licensed,country,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98
ski-jumping,Men's Large Hill Individual_1,1,1,1,1,1,NOR,JPN,Germany,POL,Germany,SLO,AUT,NOR,AUT,SLO,SLO,SLO,AUT,Germany,JPN,ROC,FIN,POL,0,AUT,POL,SUI,ROC,JPN,SUI,POL,SUI,Germany,JPN,EST,NOR,NOR,CAN,ROC,ITA,SUI,EST,BUL,USA,TUR,CZE,CZE,USA,UKR,USA,ROU,CZE,CZE,CAN,UKR,KAZ,ROU,USA,KAZ,CHN,UKR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ski-jumping,Men's Large Hill Individual_2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ROC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ski-jumping,Men's Team_1,1,4,4,1,1,AUT,SLO,Germany,NOR,JPN,POL,ROC,SUI,CZE,USA,CHN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ski-jumping,Mixed Team_1,1,4,4,1,1,SLO,ROC,CAN,JPN,AUT,POL,CZE,NOR,Germany,CHN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
snowboard,Women's Parallel Giant Slalom_1,1,1,1,1,1,CZE,AUT,SLO,NLD,Germany,AUT,Germany,POL,JPN,ROC,ROC,CAN,SUI,SUI,JPN,ITA,SUI,KOR,CHN,ROC,CAN,POL,CZE,POL,CHN,UKR,Germany,SUI,ITA,ROC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
snowboard,Men's Parallel Giant Slalom_1,1,1,1,1,1,AUT,SLO,ROC,ITA,KOR,AUT,POL,AUT,POL,ROC,SLO,ITA,Germany,SUI,BUL,0,ITA,Germany,ROC,CAN,SUI,CHN,AUT,KOR,SLO,CAN,CAN,SUI,USA,Germany,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
snowboard,Men's Parallel Giant Slalom_2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
snowboard,Women's Snowboard Cross_1,1,1,1,1,1,USA,FRA,CAN,AUS,FRA,CAN,USA,ITA,GBR,ITA,CAN,USA,USA,ROC,CAN,SUI,ROC,AUS,SUI,SUI,FRA,ITA,ROC,ITA,AUT,FRA,Germany,CZE,ROC,CHN,AND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
snowboard,Men's Snowboard Cross_1,1,1,1,1,1,AUT,CAN,ITA,AUT,FRA,USA,ESP,ITA,Germany,USA,FRA,FRA,AUS,Germany,USA,JPN,USA,Germany,CAN,AUT,AUS,AUS,SUI,ROC,AUT,ITA,CAN,NLD,AUS,GBR,ITA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
snowboard,Mixed Team Snowboard Cross_1,1,2,2,1,1,USA,ITA,CAN,ITA,Germany,GBR,SUI,ROC,AUS,0,0,0,AUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
