,olympic_game,type,discipline,event,event_step,normal,team,group,licensed,country,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139
20,tokyo-2020,olympic,diving,men-s-10m-platform,men-s-10m-platform_1,1,1,1,1,CHN,CHN,GBR,ROC,ROC,UKR,JPN,AUS,USA,BRA,USA,MEX,CAN,PUR,KOR,KOR,GER,COL,CAN,BRA,GER,VEN,EGY,MEX,JPN,SGP,GBR,AUS,FRA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,tokyo-2020,olympic,diving,women-s-3m-springboard,women-s-3m-springboard_1,1,1,1,1,CHN,CHN,USA,MAS,NED,MEX,GER,CAN,USA,ROC,SUI,AUS,SWE,AUS,KOR,JPN,JPN,CAN,GBR,MAS,BRA,GBR,UKR,UKR,RSA,RSA,MEX,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,tokyo-2020,olympic,canoe-sprint,women-s-canoe-single-200m,women-s-canoe-single-200m_1,1,1,1,1,USA,CAN,UKR,POL,ESP,CHN,ROC,CAN,HUN,CHI,BLR,CUB,GER,HUN,ROC,CUB,UKR,UZB,NGR,GBR,AUS,CRO,THA,MDA,GER,BUL,UZB,MDA,KAZ,JPN,JPN,AUS,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,tokyo-2020,olympic,canoe-sprint,men-s-canoe-double-1000m,men-s-canoe-double-1000m_1,1,1,1,1,CUB,CHN,GER,BRA,ROU,CAN,POL,ESP,ROC,CZE,HUN,KAZ,UKR,STP,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,tokyo-2020,olympic,canoe-sprint,men-s-kayak-four-500m,men-s-kayak-four-500m_1,1,1,1,1,Germany,Spain,Slovakia,ROC,Belarus,Australia,Hungary,Portugal,People's Republic of China,Canada,Japan,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,tokyo-2020,olympic,canoe-sprint,men-s-kayak-double-1000m,men-s-kayak-double-1000m_1,1,1,1,1,AUS,GER,CZE,HUN,NZL,ESP,BLR,CHN,ROC,SVK,ITA,HUN,AUS,CAN,FRA,SAM,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,tokyo-2020,olympic,canoe-sprint,women-s-kayak-single-200m,women-s-kayak-single-200m_1,1,1,1,1,NZL,ESP,DEN,POL,SWE,HUN,ITA,GBR,CAN,POR,ROC,CHN,CAN,0,CHN,HUN,POL,GBR,FRA,ROC,CRO,FRA,POR,DEN,UKR,0,ARG,JPN,TUN,KAZ,SAM,EGY,COK,ALG,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,tokyo-2020,olympic,canoe-sprint,women-s-kayak-single-200m,women-s-kayak-single-200m_2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,SRB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,tokyo-2020,olympic,canoe-sprint,women-s-canoe-double-500m,women-s-canoe-double-500m_1,1,1,1,1,CHN,UKR,CAN,GER,HUN,CUB,MDA,ROC,CHI,BLR,UZB,KAZ,AUS,JPN,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,tokyo-2020,olympic,canoe-sprint,women-s-kayak-single-500m,women-s-kayak-single-500m_1,1,1,1,1,NZL,HUN,DEN,HUN,SWE,BEL,POR,AUS,NZL,GER,POL,SRB,POL,BLR,0,AUS,SLO,GER,ESP,SLO,BEL,BLR,FRA,AUT,CAN,GBR,ROC,CHN,ARG,UKR,GBR,ROC,CHN,AUT,CRO,KAZ,POR,ITA,SAM,EGY,ALG,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
